id,pagerank,address,label,uiamount_inbound,xfer_count
54184,1.27675990703727e-06,0x3869cfcaf1ba322d832d61d32ee12ae8c69bd9c1,WS TUSD Top 100 #54184,14849318,2
209433,1.19581096299865e-06,0xdcf45ec32b553c8274596cd6401dd78a0fac8cc1,WS TUSD Top 100 #209433,11380091,4
156010,1.16481301464758e-06,0xa4159ea134253bac6da80fbc2f06cd727186a828,WS TUSD Top 100 #156010,13837130,15
112,1.15035340255418e-06,0x000000000000000000000000000000000000024d,WS TUSD Top 100 #112,110209967,96
40252,1.14508542693247e-06,0x2986976cc2a012174701f319c1ddb2b709548502,Huobi Deposit Address,9999970,2
52267,1.08206145491679e-06,0x366505e38354fdb0d35ebf1790b903bb0a7a0d1a,hi.tadaima.eth FTX Deposit Address,20163390,16
37983,1.0504350492267e-06,0x270cd0b43f6fe2512a32597c7a05fb01ee6ec8e1,WS TUSD Top 100 #37983,168972349,196
34658,1.04371594614616e-06,0x237c5f7492ea30d29d9226e624317cb23c85c72a,FTX DEposit Address 3,23529324,57
173092,1.02631705308805e-06,0xb60c61dbb7456f024f9338c739b02be68e3f545c,WS TUSD Top 100 #173092,19845536,86
966,1.02032683257741e-06,0x0000000000000000000000000000000000002832,WS TUSD Top 100 #966,9903000,5
143628,9.7846806318758e-07,0x97137466bc8018531795217f0ecc4ba24dcba5c1,Alameda Research 24,454457922,121
97785,9.688302931448e-07,0x66b870ddf78c975af5cd8edc6de25eca81791de1,fundpublic.eth,12904738,12
97309,9.49114558658317e-07,0x663d0ad7c1d94c83b60454f169a3546a5b50fcce,WS TUSD Top 100 #97309,20000964,12
52086,9.16071310600494e-07,0x3631401a11ba7004d1311e24d177b05ece39b4b3,WS TUSD Top 100 #52086,7999994,1
236072,8.9782311726517e-07,0xf97155f2ac54c7966c0684600df856a18d9319d3,FTX Deposit Address 4,16793920,11
136569,8.83818878761829e-07,0x8f8dc9786154d159bc7e60966a8cdbf0cb9ada33,WS TUSD Top 100 #136569,12810427,5
173459,8.56422996422065e-07,0xb673da22e06a6e2eced2861532bdc6bd399842f9,WS TUSD Top 100 #173459,22512767,774
18081,8.43143349651469e-07,0x11d625109d9257c24d8a3ab8128c4a95a2cf5c31,Link Alameda Research 27,33185836,14
112062,8.22907284705679e-07,0x75b613ef1870a7a2836d96a07145bd5b136412fe,WS TUSD Top 100 #112062,23464160,62
82654,8.17674203140294e-07,0x568cc6eca34d56f5695b16ff0250dfa77f247c47,WS TUSD Top 100 #82654,25220783,35
57908,8.03296545134627e-07,0x3c5883c650d600bd543a9b5c8d9a3a6f5d16b8f4,OKX Deposit Address 2,15102126,429
232027,7.9033948460928e-07,0xf53b9b5ce10966e66327b5a5e72c29cdbca4154a,Mr-hedgie.eth FTX Deposit Address,176160790,332
15533,7.70124731132161e-07,0x0f2577ccb1e895ed1e8bfd4e709706595831e78a,asinclair.eth (funded),9748965,17
192041,7.57983912784973e-07,0xca5f458d9ba5f40b95437b20d8143b909e3ff0fa,WS TUSD Top 100 #192041,17296939,15
179667,7.44599443034069e-07,0xbd2a441d0780d6cf6d0b86714d517d9959df4855,WS TUSD Top 100 #179667,15000321,2097
135078,7.43661428220159e-07,0x8e04af7f7c76daa9ab429b1340e0327b5b835748,Fund 0x8e04...5748,49188026,141
227530,7.26759034451082e-07,0xf079b46cb7f53e6732c4e30069dc02770a605fa7,Gate.io deposit address 2,8223742,8
33100,7.01710057736536e-07,0x21d9c1d2cdcb44b04e6ded64dd89bcf5fcb09ce5,MIM guy,16860430,7
69228,6.88385287661739e-07,0x4864844ee5aec82a44175b23c4b32545743b4ad7,WS TUSD Top 100 #69228,34510729,136
43234,6.72796270965761e-07,0x2ca7bc514ba269091c9298000470daf41ebbab2e,Crypto.com Deposit Address 3,7840159,5
1781,6.59373314574489e-07,0x008024771614f4290696b63ba3dd3a1ceb34d4d9,WS TUSD Top 100 #1781,40804287,92
110858,6.56232338041974e-07,0x747b5a350beaa6ea972ff273c8b576140b7c8a59,Alameda Research 14 forwarder 3,24699478,64
203716,6.53187620745426e-07,0xd6c99506298aed91894f48e2c5e3c40c288b17ca,Justin Sun Poloniex Deposit Address,27596000,8
71241,6.40202653788854e-07,0x4a85d9f9909cece5d8264e33a540c54ff5b42f1c,Justin Sun Poloniex Deposit Address 2,17222428,31
208774,6.23937000675678e-07,0xdc43f1c2c81f24da72e764923e0ef2c12bcbb936,OKX Deposit Address 3,8750050,20
229466,5.99172913538378e-07,0xf28dc9514d6abd3feefc983681ddf464879bf274,FTX Deposit Address 5,20396759,28
3329,5.60969166989909e-07,0x021d349d3e8980d819af1b8d7b8d790aeb42f684,Justin Sun OKX Deposit Address,14600000,6
994,5.46439071313754e-07,0x000000000000000000000000000000000000293d,WS TUSD Top 100 #994,6160726,42
142931,5.43934813578803e-07,0x964d9d1a532b5a5daeacbac71d46320de313ae9c,Alameda Research 13,131545294,32
114673,5.39670330115081e-07,0x788d27791dd599ed5a0e3bf66c3fbe2057be8e89,Huobi/HUSD User FTX Deposit Address,6813296,9
170022,5.39205813145667e-07,0xb2e01dff4a0cc6fc2fec5e868a581af97022cab6,WS TUSD Top 100 #170022,9279170,4
58118,5.35854610611448e-07,0x3c8d1abf82599f54519e477e194199720b06541f,jackgao.eth,29519011,41
136903,5.24563838449684e-07,0x8fe0e1205811d5a7e80ee9dc65ae75cafd71ac8d,WS TUSD Top 100 #136903,7865863,29
23,5.21769938466344e-07,0x00000000000000000000000000000000000000c8,WS TUSD Top 100 #23,11500091,22
107487,5.21476565817655e-07,0x70f994a316a76a18c1ed05e1f5a2756d933c3c7a,Bribe V2 Contract Exploiter 2,8591731,4
201120,5.11731724726427e-07,0xd3f699eacc59fbb87d82da9ff32809faa4c4d0b2,WS TUSD Top 100 #201120,6844724,4
