id,whalescale,address,label,total_received,total_xfers
159174,3.340136647815739e-06,0x564286362092d8e7936f0549571a803b203aaced,Binance 3,4684701190.184869,807
391958,3.1352446795496524e-06,0xd551234ae421e3bcba99a0da6d736074f22192ff,Binance 2,4397434951.272937,777
413662,3.112280098468628e-06,0xe11970f2f3de9d637fb786f2d869f8fea44195ac,Amber Group,1201693043.3241389,434
203394,2.953413924565068e-06,0x6e873b29e27ca2cc1e16dd12e915d1c2dea1a60e,Paxos Treasury Deposits 18,1541802223.6004972,635
97995,2.5203173390579393e-06,0x34e425ff88bb95149a0d828267cb005d744b515a,FTX Deposit Address 3 BUSD Top100,425040642.03525627,127
299858,2.365513738664799e-06,0xa32fce5ad7611cb226306e7054dc9e0aec007132,,405364798.4767649,32
207008,2.3192288897165355e-06,0x708396f17127c42383e3b9014072679b2f60b82f,Binance Exchange 11,3252833244.5217075,325
439182,2.3000803582954645e-06,0xef4bfe2e7eed5263a46b3a4681f88ef14b1d5279,FTX-->Paxos Treasury Deposits 18,451312132.69597507,368
245676,2.278139790662808e-06,0x85b931a32a0725be14285b66f1a22178c672d69b,Binance 10,3195202595.3938107,311
441093,2.276698716040184e-06,0xf05e2a70346560d3228c7002194bb7c5dc8fe100,Jump Trading: Binance Deposit,6117812641.086463,3632
344613,2.2257853716867425e-06,0xbb98f2a83d78310342da3e63278ce7515d52619d,,541003358.195885,453
373753,1.9793696724520964e-06,0xcb66a1a09ade224680001b24ba908ce98c680885,FTX Deposit Address 4 BUSD Top100,535243047.64000005,265
178874,1.907674492455482e-06,0x611f97d450042418e7338cbdd19202711563df01,Justin Sun 3,341182176.1863429,6
330770,1.8772773542014386e-06,0xb3f923eabaf178fc1bd8e13902fc5c61d3ddef5b,#Binance,7371187443.711657,3244
306116,1.7720575196358497e-06,0xa68b437b38bfa3dad21915fd6513e5d8fda77574,Binance --> Binance US 3 forwarder,485471108.40999997,99
34325,1.6892493674054758e-06,0x123fbf8b17d51736964afbee65aa5774858468e0,Amber Group 2,311025298.58,105
250931,1.6317496729889372e-06,0x8894e0a0c962cb723c1976a4421c95949be2d4e3,,200000000,1
192697,1.6280427869065905e-06,0x68b3f12d6e8d85a8d3dbbc15bba9dc5103b888a4,WS TUSD Top 100 FTX Exchange TUSD 2,414251942.1299,1180
182150,1.6110198358285676e-06,0x62ea60da61e88f53a9362054f77ffd6372bb28f7,Paxos Treasury Deposits 19,365842338.37235343,369
33629,1.5324570857073153e-06,0x11dbf181dd5c075c2abd92cb9579c4809406b5be,,502501823.9659015,417
327457,1.4317026114700796e-06,0xb224228b0fe71cebf95ee25339166cd626759b52,"OTC? Cumberland, machibigbrother.eth",325686922.34797895,182
97074,1.4047955247432434e-06,0x345d8e3a1f62ee6b1d483890976fd66168e390f2,Binance Exchange 23,6596070009.584797,23577
275874,1.4025124425344606e-06,0x9626eb0fb67cb9eabf9d33efd32fb02eb3c15b64,Amber Group Paxos Deposits,1591160416.4309459,545
